Date,South Carolina,Louisiana,Virginia,Idaho,Iowa,Missouri,Oklahoma,Colorado,Illinois,Indiana,Mississippi,Nebraska,Pennsylvania,Washington,Vermont,Florida,North Carolina,California,New York,Wyoming,Michigan,Kentucky,Ohio,Alaska,Tennessee,Texas,Maine,Maryland,Minnesota,Arizona,Georgia,Arkansas,Wisconsin,Kansas,New Jersey,South Dakota,Alabama,North Dakota,Massachusetts,New Hampshire,Oregon,West Virginia,New Mexico,Utah,Rhode Island,Montana,Nevada,District of Columbia,Connecticut,Hawaii,Delaware,Diamond Princess,Grand Princess,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands
51,119,278,763,51,324,135,43,315,2388,569,263,268,815,160,0,527,1023,2245,1525,11,659,98,484,1,0,1121,78,777,641,330,946,80,528,154,1420,92,676,101,1045,147,75,65,125,192,405,7,292,117,587,2,157,0,0,0,0,61,0
52,206,1188,1229,0,550,161,148,394,2270,662,255,305,1126,146,6,1204,250,2034,2088,14,501,119,731,0,549,1380,58,1208,530,442,862,455,472,118,810,0,236,134,1114,67,16,26,155,164,215,1,12,237,191,4,192,0,0,11,1,47,0
53,257,421,813,89,322,147,169,296,2756,473,403,235,959,148,2,776,1598,2221,1696,2,403,140,627,2,433,486,71,893,805,276,819,154,511,284,993,179,382,88,805,79,47,112,153,183,165,0,125,105,432,-5,143,0,0,0,0,117,0
54,257,0,799,0,406,130,111,477,2352,492,380,301,798,0,2,676,754,2287,1772,10,452,145,614,4,391,1237,65,1071,840,429,760,163,481,37,561,108,447,48,773,75,24,0,0,203,216,0,1,73,382,1,0,0,0,0,0,70,0
55,201,244,495,31,353,183,77,210,2508,475,255,171,554,563,2,740,501,1481,1589,25,314,0,503,0,326,1085,42,818,728,324,660,147,400,58,1014,99,361,53,1013,60,39,54,318,132,113,0,355,144,446,0,280,0,0,1,0,89,0
56,82,640,1483,0,306,327,53,82,1713,339,198,228,362,237,6,879,692,2380,1249,5,202,0,566,1,424,548,19,839,742,198,498,107,307,121,938,23,508,39,596,48,22,15,83,129,0,0,75,115,405,0,156,0,0,0,0,71,0
57,238,245,1615,0,146,103,48,296,1178,363,273,257,853,116,5,509,398,2987,1072,7,223,380,529,2,360,821,35,535,645,289,583,151,279,74,672,67,664,-35,422,34,18,0,104,99,145,0,101,109,430,0,101,0,0,1,0,64,0
58,207,443,907,73,666,237,91,202,1111,359,313,365,779,225,4,379,461,1663,1129,10,504,126,433,1,390,1312,28,736,504,454,655,97,599,92,864,57,382,17,527,55,71,125,122,86,143,2,93,72,-15,1,30,0,0,3,0,73,0
59,165,305,1152,71,217,165,44,353,1527,631,328,265,663,358,3,651,884,2763,1768,16,406,108,476,13,394,1853,52,1286,483,559,628,261,512,80,557,83,498,42,675,103,48,36,112,215,141,4,98,86,271,3,75,0,0,1,0,89,0
60,343,0,1132,0,371,103,65,491,1622,490,421,399,764,307,1,1212,1085,2809,1551,15,607,279,651,5,384,506,37,1279,584,595,615,239,733,291,1659,73,501,39,617,103,45,16,129,343,141,8,128,46,203,2,65,0,0,1,0,161,0
