Date,South Carolina,Louisiana,Virginia,Idaho,Iowa,Missouri,Oklahoma,Colorado,Illinois,Indiana,Mississippi,Nebraska,Pennsylvania,Washington,Vermont,Florida,North Carolina,California,New York,Wyoming,Michigan,Kentucky,Ohio,Alaska,Tennessee,Texas,Maine,Maryland,Minnesota,Arizona,Georgia,Arkansas,Wisconsin,Kansas,New Jersey,South Dakota,Alabama,North Dakota,Massachusetts,New Hampshire,Oregon,West Virginia,New Mexico,Utah,Rhode Island,Montana,Nevada,District of Columbia,Connecticut,Hawaii,Delaware,Diamond Princess,Grand Princess,Guam,Northern Mariana Islands,Puerto Rico,Virgin Islands
25,153,401,596,34,521,282,104,978,2721,642,281,222,1829,224,2,885,470,1794,8130,20,1345,300,475,2,462,992,28,879,243,273,608,211,304,238,2171,84,194,39,4946,50,50,29,142,170,443,2,190,167,836,5,134,0,0,2,0,-140,0
26,183,372,772,17,647,147,73,712,2119,718,284,295,945,342,16,306,478,1013,10553,18,433,136,418,0,461,511,0,1150,261,241,731,101,331,176,3302,107,0,55,2379,77,76,0,139,166,430,1,141,171,647,4,134,0,0,0,0,31,1
27,245,261,604,10,384,185,60,473,2126,613,193,309,1463,202,8,693,229,1190,5902,11,704,170,385,1,478,814,50,815,156,248,264,90,225,142,3540,65,395,64,1590,67,58,45,66,175,310,3,195,142,686,1,458,0,0,0,0,64,2
28,115,295,568,0,392,185,27,438,1980,949,183,330,942,165,4,606,431,1408,3951,18,432,71,353,5,251,354,8,906,209,191,816,68,169,196,2150,32,118,75,1524,74,43,8,99,113,269,1,-34,51,728,1,128,0,13,0,0,18,0
29,122,218,801,55,508,145,129,437,2219,627,248,159,1579,156,7,710,327,1198,3110,16,1052,219,444,6,134,1036,17,626,370,230,620,58,208,179,2668,69,211,49,1840,72,31,32,149,109,219,2,121,102,315,2,413,0,0,0,0,11,0
30,147,374,623,0,467,210,63,442,2256,594,227,334,1190,228,0,345,425,2583,4585,9,1137,162,534,4,314,900,16,736,463,254,853,66,231,187,2509,60,162,42,1963,48,61,15,239,152,320,0,113,112,455,4,80,0,0,0,0,33,0
31,213,341,885,32,302,158,145,526,2560,653,246,430,1644,257,4,497,574,1383,4681,14,980,171,724,0,369,1470,39,893,492,446,489,88,334,574,2287,76,176,34,1940,88,64,15,198,175,374,2,119,217,933,5,79,0,0,4,0,106,9
32,163,710,1055,31,739,249,130,509,3137,795,397,727,1608,310,13,1038,316,1896,3942,7,977,174,716,9,1156,965,28,1730,594,314,1225,56,460,221,2538,76,206,40,2106,164,69,27,102,156,341,0,195,335,1064,1,184,1,0,0,0,36,0
33,231,429,836,46,759,289,103,432,2450,665,229,309,915,366,7,735,518,1321,4663,13,851,-3,592,1,770,1225,30,1001,502,395,842,35,346,251,2527,63,317,46,1952,119,56,33,219,157,327,2,141,139,523,1,120,0,0,0,0,182,0
34,137,200,934,0,532,262,121,410,2994,638,109,344,731,182,11,615,182,1556,3438,7,594,251,579,3,516,1081,32,989,431,276,334,65,304,271,3027,43,277,38,1824,89,45,10,118,190,188,0,83,219,0,0,170,0,0,0,0,51,0
35,131,333,821,45,528,328,72,283,2278,574,327,376,1591,277,5,819,201,981,2538,10,189,115,560,2,394,785,20,946,571,284,786,54,272,227,1525,37,224,34,1000,70,79,29,181,142,175,2,158,154,686,1,80,0,0,0,0,35,0
36,84,323,764,21,408,175,83,449,2112,526,330,336,1048,132,5,542,539,2572,2239,8,461,577,495,1,119,1129,21,709,617,381,547,34,330,265,2324,53,325,41,1184,48,80,22,107,132,281,-1,30,152,648,4,83,0,0,0,0,81,0
37,95,403,0,31,293,202,75,465,2343,837,217,316,936,311,1,563,543,2160,2786,27,728,112,607,1,248,1016,28,1046,728,402,745,86,335,345,1297,59,254,57,1754,105,77,-4,153,146,272,0,81,139,374,1,407,0,0,4,1,44,0
38,206,253,1313,20,655,258,128,538,2639,633,262,645,1156,326,8,826,487,1532,3491,4,566,195,555,2,158,1108,76,1211,786,238,875,92,314,339,2101,126,355,48,1696,102,73,45,202,129,325,0,114,193,789,3,161,0,0,0,0,63,0
39,225,203,772,0,398,152,94,457,2889,643,404,484,1415,157,3,371,466,1631,2938,9,641,159,885,3,345,1210,44,1111,723,581,563,44,375,335,1849,239,339,54,1612,104,79,36,180,195,249,2,65,245,627,0,172,0,0,2,0,125,2
40,164,562,854,27,214,178,66,548,2325,586,288,275,1189,286,2,802,472,2779,2715,9,429,152,681,1,327,1148,34,1049,702,434,407,0,349,162,1557,248,283,39,1410,64,92,0,105,184,210,0,251,203,573,2,166,0,0,0,1,17,0
41,122,183,885,25,288,157,99,328,1656,394,123,78,1379,217,6,595,460,1042,2273,9,367,0,384,1,217,864,28,1053,481,159,992,265,280,122,1357,124,221,27,1050,60,68,37,85,148,285,0,-51,170,570,1,0,0,0,0,0,25,1
42,139,215,989,30,414,89,24,176,1266,501,173,236,520,231,-1,386,336,1729,1660,7,370,237,696,0,559,1297,26,786,528,264,422,31,199,208,1452,97,275,27,669,89,58,6,206,111,176,1,32,117,211,2,288,0,0,0,3,58,0
43,135,235,730,33,539,112,119,278,4014,500,234,125,851,208,1,941,348,1649,1430,6,469,176,473,4,567,877,15,688,695,353,922,121,193,81,711,49,300,53,870,79,72,12,143,70,164,2,161,96,568,1,176,0,0,1,0,43,0
44,103,612,946,0,377,135,126,318,1673,346,182,380,791,182,2,479,730,1820,2176,13,370,0,471,0,259,1588,38,751,423,480,503,72,291,278,643,69,236,76,1165,60,58,20,152,188,221,1,163,99,522,3,211,0,0,0,0,30,0
45,159,827,1067,58,386,190,105,363,3243,580,393,348,1004,261,3,808,616,2073,2390,13,1191,372,636,0,329,1460,50,1091,518,458,550,130,373,187,1144,60,401,65,1685,83,63,29,139,129,181,0,28,152,609,-1,271,0,0,0,0,98,0
46,218,348,859,0,374,172,124,394,2432,603,318,350,1031,178,1,928,526,1822,2762,15,497,219,597,5,261,1241,38,1083,805,495,795,97,410,181,1280,95,272,49,1239,71,62,20,159,164,203,4,229,135,621,1,150,0,0,2,0,115,0
47,254,280,1011,68,279,193,150,401,2088,624,322,610,1049,337,1,673,636,2032,2419,25,459,244,520,0,303,1731,45,982,729,497,440,115,502,53,1105,72,301,87,1512,103,71,23,185,155,215,2,80,171,618,1,174,0,0,0,2,47,0
